tray,ecotype,position,status,outlier
16,Cvi,B5,treatment,no
16,Cvi,C1,treatment,no
16,Cvi,C2,treatment,no
16,Col-0,C3,treatment,no
16,Col-0,C4,treatment,no
16,Col-0,C5,treatment,no
16,Col-0,D1,treatment,no
16,Cvi,D3,treatment,no
16,Col-0,D5,treatment,no
17,Col-0,A1,treatment,no
17,Cvi,A2,treatment,no
17,Cvi,A3,treatment,no
17,Cvi,A5,treatment,no
17,Col-0,B1,treatment,no
17,Col-0,B2,treatment,no
17,Cvi,B3,treatment,no
17,Cvi,B4,treatment,no
17,Cvi,B5,treatment,no
17,Col-0,C2,treatment,no
17,Col-0,C3,treatment,no
17,Cvi,C4,treatment,no
17,Col-0,C5,treatment,no
17,Checker,D1,treatment,no
17,Col-0,D2,treatment,no
17,Col-0,D3,treatment,no
17,Cvi,D5,treatment,no
18,Col-0,A1,treatment,no
18,Cvi,A2,treatment,no
18,Cvi,A3,treatment,no
18,Cvi,A4,treatment,no
18,Cvi,A5,treatment,no
18,Col-0,B1,treatment,no
18,Cvi,B2,treatment,no
18,Cvi,B3,treatment,no
18,Col-0,B4,treatment,no
18,Cvi,B5,treatment,no
18,Col-0,C1,treatment,no
18,Col-0,C2,treatment,no
18,Col-0,C3,treatment,no
18,Cvi,C4,treatment,no
18,Cvi,C5,treatment,no
18,Col-0,D1,treatment,no
18,Cvi,D2,treatment,no
18,Col-0,D3,treatment,no
18,Col-0,D4,treatment,no
18,Col-0,D5,treatment,no
4,Cvi,C3,control,yes
1,Col-0,B2,control,yes
2,Cvi,B2,control,yes
3,Cvi,D4,control,yes
4,Col-0,C2,control,yes
4,Col-0,C4,control,yes
5,Cvi,B4,control,yes
5,Col-0,D1,control,yes
5,Cvi,D3,control,yes
5,Col-0,D4,control,yes
5,Cvi,D5,control,yes
6,Cvi,A1,treatment,yes
6,Cvi,A4,treatment,yes
6,Cvi,C1,treatment,yes
6,Cvi,D1,treatment,yes
7,Col-0,C5,treatment,yes
8,Cvi,A1,treatment,yes
10,Col-0,B2,control,yes
10,Cvi,B3,control,yes
12,Cvi,A2,control,yes
12,Cvi,D2,control,yes
12,Cvi,D4,control,yes
13,Col-0,B1,control,yes
13,Cvi,D4,control,yes
13,Cvi,D5,control,yes
15,Cvi,A2,treatment,yes
16,Col-0,A1,treatment,yes
16,Cvi,D2,treatment,yes
16,Cvi,D4,treatment,yes
17,Col-0,A4,treatment,yes
17,Col-0,C1,treatment,yes
17,Cvi,D4,treatment,yes
